4717,-100,-100,-100,-100,-100,-100,-21.35315,-9.819031,-38.269043,-100
4734,-100,-100,-100,0.029953003,0.10484314,0.017425537,-100,-100,-100,-100
4766,3.293335,0.16838074,8.209045,-100,-100,-100,-100,-100,-100,-100
4920,-100,-100,-100,-100,-100,-100,-20.159912,-10.202026,-39.004517,-100
4946,2.22818,0.20594788,8.609207,-100,-100,-100,-100,-100,-100,-100
4947,-100,-100,-100,0.08882141,0.11857605,-0.14135742,-100,-100,-100,-100
5120,-100,-100,-100,-100,-100,-100,-19.618225,-11.112976,-38.53607,-100
5146,-100,-100,-100,0.042007446,0.06765747,-0.10630798,-100,-100,-100,-100
5184,2.0685425,0.44458008,8.5486145,-100,-100,-100,-100,-100,-100,-100
5322,-100,-100,-100,-100,-100,-100,-19.42749,-10.990906,-39.196777,-100
5356,-100,-100,-100,0.08035278,-0.0082092285,-0.060516357,-100,-100,-100,-100
5358,2.052597,0.8002472,8.683563,-100,-100,-100,-100,-100,-100,-100
5522,-100,-100,-100,-100,-100,-100,-19.628906,-11.772156,-39.379883,-100
5541,-100,-100,-100,0.08950806,-0.001953125,-0.05911255,-100,-100,-100,-100
5600,2.3378143,1.4919281,8.075287,-100,-100,-100,-100,-100,-100,-100
5725,-100,-100,-100,-100,-100,-100,-19.80133,-13.07373,-39.57672,-100
5733,-100,-100,-100,0.17843628,0.01222229,0.03514099,-100,-100,-100,-100
5767,2.2956848,1.64711,8.643036,-100,-100,-100,-100,-100,-100,-100
5928,-100,-100,-100,-100,-100,-100,-19.474792,-14.155579,-40.174866,-100
5934,-100,-100,-100,0.24743652,0.08895874,0.11126709,-100,-100,-100,-100
5935,2.0736084,0.64894104,9.082474,-100,-100,-100,-100,-100,-100,-100
6131,-100,-100,-100,-100,-100,-100,-19.47937,-14.886475,-39.54773,-100
6136,-100,-100,-100,0.09422302,-0.052764893,0.088027954,-100,-100,-100,-100
6185,1.7338257,1.1414948,7.871872,-100,-100,-100,-100,-100,-100,-100
6330,-100,-100,-100,-100,-100,-100,-19.448853,-14.651489,-39.146423,-100
6333,-100,-100,-100,0.007949829,-0.029129028,0.063446045,-100,-100,-100,-100
6354,1.7268219,1.5955353,7.853592,-100,-100,-100,-100,-100,-100,-100
6532,-100,-100,-100,-100,-100,-100,-19.322205,-14.5477295,-39.00299,-100
6535,-100,-100,-100,0.03678894,-0.030593872,0.045211792,-100,-100,-100,-100
6603,2.2911377,2.081955,8.287399,-100,-100,-100,-100,-100,-100,-100
6733,-100,-100,-100,-100,-100,-100,-18.766785,-15.25116,-38.49945,-100
6735,-100,-100,-100,0.06880188,-0.08268738,-0.01713562,-100,-100,-100,-100
6768,2.3051758,1.5788269,9.049179,-100,-100,-100,-100,-100,-100,-100
6934,-100,-100,-100,-100,-100,-100,-17.689514,-16.496277,-37.391663,-100
