5464133,1.2943268,1.1775818,7.8519745,-100,-100,-100,-100,-100,-100,-100
5464227,-100,-100,-100,-0.24127197,-0.009429932,-0.003540039,-100,-100,-100,-100
5464266,-100,-100,-100,-100,-100,-100,1.8035889,-24.414063,-42.622375,-100
5464301,1.9932709,1.5661011,7.8772583,-100,-100,-100,-100,-100,-100,-100
5464430,-100,-100,-100,-0.0370636,-0.17149353,-0.22711182,-100,-100,-100,-100
5464473,-100,-100,-100,-100,-100,-100,0.030517578,-24.572754,-41.856384,-100
5464551,1.4848633,2.7730103,7.818863,-100,-100,-100,-100,-100,-100,-100
5464629,-100,-100,-100,0.06654358,-0.05718994,0.14533997,-100,-100,-100,-100
5464668,-100,-100,-100,-100,-100,-100,0.89416504,-25.378418,-41.471863,-100
5464718,0.22749329,1.3271484,9.360992,-100,-100,-100,-100,-100,-100,-100
5464830,-100,-100,-100,-0.18896484,0.35412598,0.6929321,-100,-100,-100,-100
5464871,-100,-100,-100,-100,-100,-100,-0.38452148,-21.102905,-43.229675,-100
5464966,1.4252319,0.804657,11.7300415,-100,-100,-100,-100,-100,-100,-100
5465026,-100,-100,-100,0.1769867,-0.28353882,-0.0013427734,-100,-100,-100,-100
5465072,-100,-100,-100,-100,-100,-100,-0.97198486,-25.784302,-40.974426,-100
5465135,2.2457428,0.66633606,10.968903,-100,-100,-100,-100,-100,-100,-100
5465225,-100,-100,-100,0.4788971,0.037643433,-0.31040955,-100,-100,-100,-100
5465276,-100,-100,-100,-100,-100,-100,1.6372681,-28.941345,-39.58435,-100
5465303,2.4761353,2.6636047,5.9828644,-100,-100,-100,-100,-100,-100,-100
5465426,-100,-100,-100,0.20024109,-0.107177734,-0.39665222,-100,-100,-100,-100
5465475,-100,-100,-100,-100,-100,-100,1.8081665,-32.208252,-37.739563,-100
5465550,-1.6299133,2.419693,8.371445,-100,-100,-100,-100,-100,-100,-100
5465625,-100,-100,-100,-0.1837616,6.4086914E-4,0.65760803,-100,-100,-100,-100
5465677,-100,-100,-100,-100,-100,-100,-3.9627075,-33.502197,-38.697815,-100
5465719,3.017685,-0.84402466,6.237793,-100,-100,-100,-100,-100,-100,-100
5465824,-100,-100,-100,0.4317627,0.015365601,-0.33885193,-100,-100,-100,-100
5465852,-100,-100,-100,-100,-100,-100,-100,-100,-100,2.0
5465886,-100,-100,-100,-100,-100,-100,-2.972412,-36.354065,-39.46228,-100
5465944,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0
5465971,2.835022,1.2664795,11.695328,-100,-100,-100,-100,-100,-100,-100
5466023,-100,-100,-100,-0.5814514,-0.2147522,-0.5769348,-100,-100,-100,-100
5466079,-100,-100,-100,-100,-100,-100,-3.060913,-35.054016,-43.032837,-100
5466134,2.3042755,1.809845,6.519699,-100,-100,-100,-100,-100,-100,-100
5466222,-100,-100,-100,0.46748352,0.18197632,-0.09939575,-100,-100,-100,-100
5466247,-100,-100,-100,-100,-100,-100,-100,-100,-100,3.0
5466280,-100,-100,-100,-100,-100,-100,-3.7857056,-38.005066,-41.77246,-100
5466304,1.8839111,0.60043335,13.680847,-100,-100,-100,-100,-100,-100,-100
5466346,-100,-100,-100,-100,-100,-100,-100,-100,-100,7.0
5466422,-100,-100,-100,0.068618774,0.090148926,0.6065674,-100,-100,-100,-100
5466482,-100,-100,-100,-100,-100,-100,-6.14624,-39.813232,-39.11438,-100
5466546,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0
5466551,3.1830444,-0.91825867,3.3375092,-100,-100,-100,-100,-100,-100,-100
5466621,-100,-100,-100,0.31088257,0.22589111,-0.42697144,-100,-100,-100,-100
5466653,-100,-100,-100,-100,-100,-100,-100,-100,-100,2.0
5466683,-100,-100,-100,-100,-100,-100,-3.2913208,-40.76538,-38.887024,-100
5466717,1.5922241,1.397232,13.360825,-100,-100,-100,-100,-100,-100,-100
5466750,-100,-100,-100,-100,-100,-100,-100,-100,-100,21.0
5466820,-100,-100,-100,-0.6833496,-0.65437317,-0.49893188,-100,-100,-100,-100
5466847,-100,-100,-100,-100,-100,-100,-100,-100,-100,46.0
5466885,-100,-100,-100,-100,-100,-100,-4.295349,-42.671204,-38.172913,-100
5466948,-100,-100,-100,-100,-100,-100,-100,-100,-100,30.0
5466972,-0.47001648,0.30596924,3.294464,-100,-100,-100,-100,-100,-100,-100
5467020,-100,-100,-100,0.6863098,0.103271484,0.19769287,-100,-100,-100,-100
5467049,-100,-100,-100,-100,-100,-100,-100,-100,-100,25.0
5467087,-100,-100,-100,-100,-100,-100,-9.40094,-50.798035,-32.478333,-100
5467134,-0.096191406,0.85313416,15.864227,-100,-100,-100,-100,-100,-100,-100
5467149,-100,-100,-100,-100,-100,-100,-100,-100,-100,15.0
5467217,-100,-100,-100,-0.2919159,0.10954285,0.66600037,-100,-100,-100,-100
5467248,-100,-100,-100,-100,-100,-100,-100,-100,-100,8.0
5467288,-100,-100,-100,-100,-100,-100,-16.998291,-56.137085,-26.881409,-100
5467349,-100,-100,-100,-100,-100,-100,-100,-100,-100,7.0
5467388,3.7513885,-1.2172699,4.484192,-100,-100,-100,-100,-100,-100,-100
5467419,-100,-100,-100,0.12199402,0.2846222,-0.05505371,-100,-100,-100,-100
5467449,-100,-100,-100,-100,-100,-100,-100,-100,-100,10.0
5467489,-100,-100,-100,-100,-100,-100,-35.91919,-62.657166,-17.927551,-100
5467551,-100,-100,-100,-100,-100,-100,-100,-100,-100,4.0
5467553,3.3091125,1.2853699,16.991272,-100,-100,-100,-100,-100,-100,-100
5467620,-100,-100,-100,-0.5889435,-0.5165558,-0.4141388,-100,-100,-100,-100
5467651,-100,-100,-100,-100,-100,-100,-100,-100,-100,0.0
5467690,-100,-100,-100,-100,-100,-100,-61.37848,-32.499695,-7.2402954,-100
5467721,1.3097839,-0.09327698,3.6078033,-100,-100,-100,-100,-100,-100,-100
5467819,-100,-100,-100,0.46870422,0.27313232,-0.24749756,-100,-100,-100,-100
5467891,-100,-100,-100,-100,-100,-100,-36.46393,-14.376831,-19.10553,-100
5467968,0.7645569,-0.7034912,10.257294,-100,-100,-100,-100,-100,-100,-100
5468017,-100,-100,-100,-0.31391907,0.429245,1.1090393,-100,-100,-100,-100
5468092,-100,-100,-100,-100,-100,-100,-37.654114,-13.417053,-23.20404,-100
5468133,4.082016,-1.3474884,2.9631958,-100,-100,-100,-100,-100,-100,-100
