48595199,1.2361603,-0.33691406,8.493835,-100,-100,-100,-100,-100,-100,-100
48595230,-100,-100,-100,-0.0015869141,-0.011276245,0.005874634,-100,-100,-100,-100
48595251,-100,-100,-100,-100,-100,-100,-6.213379,-3.3325195,-56.233215,-100
48595258,-100,-100,-100,-100,-100,-100,-100,-100,-100,1468.0
48595357,-100,-100,-100,-100,-100,-100,-100,-100,-100,1475.0
48595430,-100,-100,-100,0.030532837,-0.009140015,0.009109497,-100,-100,-100,-100
48595447,1.0374146,-0.42393494,8.624847,-100,-100,-100,-100,-100,-100,-100
48595451,-100,-100,-100,-100,-100,-100,-6.237793,-3.9001465,-57.58362,-100
48595462,-100,-100,-100,-100,-100,-100,-100,-100,-100,1482.0
48595557,-100,-100,-100,-100,-100,-100,-100,-100,-100,1496.0
48595614,1.1482697,-0.37057495,8.555679,-100,-100,-100,-100,-100,-100,-100
48595629,-100,-100,-100,0.010559082,-0.008972168,-0.009811401,-100,-100,-100,-100
48595654,-100,-100,-100,-100,-100,-100,-6.19812,-3.1066895,-57.206726,-100
48595658,-100,-100,-100,-100,-100,-100,-100,-100,-100,1482.0
48595758,-100,-100,-100,-100,-100,-100,-100,-100,-100,1489.0
48595779,0.87927246,-0.4867859,8.657013,-100,-100,-100,-100,-100,-100,-100
48595829,-100,-100,-100,0.013076782,0.0050964355,-0.009979248,-100,-100,-100,-100
48595855,-100,-100,-100,-100,-100,-100,-6.1584473,-3.1326294,-57.74536,-100
48595859,-100,-100,-100,-100,-100,-100,-100,-100,-100,1482.0
48595958,-100,-100,-100,-100,-100,-100,-100,-100,-100,1455.0
48596029,-100,-100,-100,-0.0016326904,0.023834229,-0.011413574,-100,-100,-100,-100
48596030,0.9689789,-0.4285736,8.701233,-100,-100,-100,-100,-100,-100,-100
48596057,-100,-100,-100,-100,-100,-100,-4.8599243,-1.2969971,-56.840515,-100
48596059,-100,-100,-100,-100,-100,-100,-100,-100,-100,1482.0
48596159,-100,-100,-100,-100,-100,-100,-100,-100,-100,1516.0
48596196,1.112793,-0.30769348,8.642532,-100,-100,-100,-100,-100,-100,-100
48596228,-100,-100,-100,0.019577026,-0.07867432,0.017578125,-100,-100,-100,-100
48596258,-100,-100,-100,-100,-100,-100,-5.596924,-1.9348145,-56.987,-100
48596260,-100,-100,-100,-100,-100,-100,-100,-100,-100,1563.0
48596360,-100,-100,-100,-100,-100,-100,-100,-100,-100,1577.0
48596428,-100,-100,-100,7.019043E-4,-0.023880005,-0.033493042,-100,-100,-100,-100
48596449,1.2220001,-0.3441162,8.473236,-100,-100,-100,-100,-100,-100,-100
48596460,-100,-100,-100,-100,-100,-100,-6.3171387,-1.5686035,-57.102966,-100
48596462,-100,-100,-100,-100,-100,-100,-100,-100,-100,1583.0
48596563,-100,-100,-100,-100,-100,-100,-100,-100,-100,1604.0
48596613,1.2570343,-0.31359863,8.468582,-100,-100,-100,-100,-100,-100,-100
48596627,-100,-100,-100,0.020370483,-0.027511597,0.030029297,-100,-100,-100,-100
48596663,-100,-100,-100,-100,-100,-100,-7.055664,-2.015686,-56.79474,-100
48596664,-100,-100,-100,-100,-100,-100,-100,-100,-100,1617.0
48596758,-100,-100,-100,-100,-100,-100,-100,-100,-100,1604.0
48596828,-100,-100,-100,0.0178833,0.00579834,6.713867E-4,-100,-100,-100,-100
48596858,-100,-100,-100,-100,-100,-100,-100,-100,-100,1611.0
48596865,-100,-100,-100,-100,-100,-100,-7.13501,-2.1453857,-57.182312,-100
48596870,1.230072,-0.30137634,8.597336,-100,-100,-100,-100,-100,-100,-100
48597027,-100,-100,-100,0.008377075,1.2207031E-4,0.0030822754,-100,-100,-100,-100
48597030,1.2056274,-0.239151,8.459946,-100,-100,-100,-100,-100,-100,-100
48597060,-100,-100,-100,-100,-100,-100,-100,-100,-100,1604.0
48597064,-100,-100,-100,-100,-100,-100,-7.0602417,-2.2506714,-57.078552,-100
48597195,1.2252655,-0.25343323,8.523895,-100,-100,-100,-100,-100,-100,-100
48597226,-100,-100,-100,0.008575439,0.0060272217,-0.0025939941,-100,-100,-100,-100
48597259,-100,-100,-100,-100,-100,-100,-100,-100,-100,1611.0
48597265,-100,-100,-100,-100,-100,-100,-7.4768066,-2.671814,-56.75354,-100
